Coord;Country_CODE;Country;C_CODE;C;GC_CODE;GC;LAU_CODE;LAU;NUTS3;NAME;LAU_MAP_CODE;Project;City;count_city;count_country
Point (11.3337246477417235 44.49786300127177441);IT;Italy;IT009C1;Bologna;;;IT_037006;Bologna;ITH55;Bologna;IT_037006;IMAGINE;Bologna;1;16
Point (9.16472630174147795 45.19784344492553885);IT;Italy;IT046C1;Pavia;;;IT_018110;Pavia;ITC48;Pavia;IT_018110;IMAGINE;Pavia;1;16
Point (9.71784609528677912 45.04124127318733173);IT;Italy;IT033C1;Piacenza;;;IT_033032;Piacenza;ITH51;Piacenza;IT_033032;IMAGINE;Piacenza;1;16
Point (21.04792868796877059 52.22956082796060429);PL;Poland;PL001C1;Warszawa;;;PL_114286501;Warszawa;PL911;Warsaw;PL_1007141286501;IMAGINE;Warsaw;2;6
Point (23.73587469597305954 37.98892368367186378);EL;Greece;EL001C2;Athina;EL001K1;Athina;EL_45010000;Municipal Commune of Athens (psevdo);EL303;Athens;EL_45010000;CLIMABOROUGH;Athens;4;7
Point (-9.4314918622074071 38.71144691506358981);PT;Portugal;;;;;PT_110508;UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL;PT170;Cascais;PT_110508;CLIMABOROUGH;Cascais;1;9
Point (5.88095103569179489 49.52160269882202215);LU;Luxembourg;;;;;LU_0202;Differdange;LU000;Differdange;LU_0202;CLIMABOROUGH;Differdange;1;2
Point (5.72128971018142707 45.18232459385522048);FR;France;FR026C2;Grenoble;;;FR_38185;Grenoble;FRK24;Grenoble;FR_38185;CLIMABOROUGH;Grenoble;1;4
Point (20.85632279269326972 39.66265325915060203);EL;Greece;EL007C1;Ioannina;;;EL_18010101;Municipal Commune of Ioannina;EL543;Ioannina;EL_18010101;CLIMABOROUGH;Ioannina;1;7
Point (15.62765329162769312 46.56318254678024715);SI;Slovenia;SI002C1;Maribor;;;SI_70;Maribor;SI032;Maribor;SI_070;CLIMABOROUGH;Maribor;1;2
Point (23.39859743761799038 42.67824851204682801);BG;Bulgaria;BG001C1;Sofia;;;BG_SOF46;Stolichna;BG411;Sofia;BG_SOF46;CLIMABOROUGH;Sofia;2;3
Point (7.67801487805906202 45.07185143882050227);IT;Italy;IT004C1;Torino;;;IT_001272;Torino;ITC11;Torino;IT_001272;CLIMABOROUGH;Torino;1;16
